date,accident
2013/6/20,111
2013/6/21,159
2013/6/22,121
2013/6/23,93
2013/6/24,155
2013/6/25,130
2013/6/26,134
2013/6/27,136
2013/6/28,136
2013/6/29,113
2013/6/30,105
2013/7/1,134
2013/7/2,116
2013/7/3,123
2013/7/4,65
2013/7/5,103
2013/7/6,81
2013/7/7,93
2013/7/8,122
2013/7/9,114
2013/7/10,127
2013/7/11,126
2013/7/12,137
2013/7/13,106
2013/7/14,91
2013/7/15,118
2013/7/16,116
2013/7/17,117
2013/7/18,130
2013/7/19,158
2013/7/20,105
2013/7/21,83
2013/7/22,108
2013/7/23,114
2013/7/24,139
2013/7/25,118
2013/7/26,154
2013/7/27,124
2013/7/28,101
2013/7/29,131
2013/7/30,115
2013/7/31,129
2013/8/1,126
2013/8/2,132
2013/8/3,113
2013/8/4,103
2013/8/5,113
2013/8/6,115
2013/8/7,102
2013/8/8,122
2013/8/9,111
2013/8/10,108
2013/8/11,83
2013/8/12,108
2013/8/13,126
2013/8/14,128
2013/8/15,139
2013/8/16,151
2013/8/17,99
2013/8/18,106
2013/8/19,100
2013/8/20,112
2013/8/21,127
2013/8/22,127
2013/8/23,139
2013/8/24,92
2013/8/25,99
2013/8/26,106
2013/8/27,120
2013/8/28,110
2013/8/29,122
2013/8/30,109
2013/8/31,93
2013/9/1,84
2013/9/2,77
2013/9/3,122
2013/9/4,127
2013/9/5,107
2013/9/6,103
2013/9/7,135
2013/9/8,94
2013/9/9,133
2013/9/10,145
2013/9/11,130
2013/9/12,149
2013/9/13,145
2013/9/14,115
2013/9/15,96
2013/9/16,128
2013/9/17,124
2013/9/18,102
2013/9/19,134
2013/9/20,132
2013/9/21,118
2013/9/22,119
2013/9/23,135
2013/9/24,131
2013/9/25,109
2013/9/26,110
2013/9/27,109
2013/9/28,130
2013/9/29,105
2013/9/30,117
2013/10/1,123
2013/10/2,133
2013/10/3,129
2013/10/4,148
2013/10/5,112
2013/10/6,78
2013/10/7,121
2013/10/8,116
2013/10/9,105
2013/10/10,122
2013/10/11,158
2013/10/12,114
2013/10/13,101
2013/10/14,74
2013/10/15,118
2013/10/16,131
2013/10/17,114
2013/10/18,147
2013/10/19,112
2013/10/20,111
2013/10/21,115
2013/10/22,101
2013/10/23,131
2013/10/24,152
2013/10/25,124
2013/10/26,123
2013/10/27,98
2013/10/28,126
2013/10/29,118
2013/10/30,124
2013/10/31,124
2013/11/1,164
2013/11/2,115
2013/11/3,88
2013/11/4,107
2013/11/5,116
2013/11/6,135
2013/11/7,118
2013/11/8,139
2013/11/9,138
2013/11/10,102
2013/11/11,104
2013/11/12,136
2013/11/13,113
2013/11/14,134
2013/11/15,147
2013/11/16,111
2013/11/17,88
2013/11/18,111
2013/11/19,119
2013/11/20,116
2013/11/21,140
2013/11/22,161
2013/11/23,116
2013/11/24,99
2013/11/25,131
2013/11/26,204
2013/11/27,122
2013/11/28,70
2013/11/29,84
2013/11/30,96
2013/12/1,84
2013/12/2,111
2013/12/3,125
2013/12/4,114
2013/12/5,111
2013/12/6,170
2013/12/7,117
2013/12/8,95
2013/12/9,114
2013/12/10,109
2013/12/11,131
2013/12/12,149
2013/12/13,156
2013/12/14,124
2013/12/15,94
2013/12/16,139
2013/12/17,114
2013/12/18,141
2013/12/19,119
2013/12/20,129
2013/12/21,95
2013/12/22,109
2013/12/23,134
2013/12/24,81
2013/12/25,38
2013/12/26,84
2013/12/27,101
2013/12/28,103
2013/12/29,74
2013/12/30,98
2013/12/31,91
2014/1/1,76
2014/1/2,91
2014/1/3,69
2014/1/4,58
2014/1/5,43
2014/1/6,97
2014/1/7,91
2014/1/8,99
2014/1/9,120
2014/1/10,138
2014/1/11,90
2014/1/12,78
2014/1/13,91
2014/1/14,115
2014/1/15,131
2014/1/16,132
2014/1/17,130
2014/1/18,79
2014/1/19,62
2014/1/20,68
2014/1/21,160
2014/1/22,120
2014/1/23,135
2014/1/24,136
2014/1/25,89
2014/1/26,71
2014/1/27,101
2014/1/28,109
2014/1/29,117
2014/1/30,133
2014/1/31,111
2014/2/1,86
2014/2/2,80
2014/2/3,132
2014/2/4,112
2014/2/5,99
2014/2/6,111
2014/2/7,130
2014/2/8,85
2014/2/9,61
2014/2/10,140
2014/2/11,123
2014/2/12,133
2014/2/13,65
2014/2/14,147
2014/2/15,75
2014/2/16,79
2014/2/17,56
2014/2/18,90
2014/2/19,120
2014/2/20,119
2014/2/21,134
2014/2/22,101
2014/2/23,80
2014/2/24,124
2014/2/25,100
2014/2/26,107
2014/2/27,96
2014/2/28,129
2014/2/29,129
2014/3/1,98
2014/3/2,58
2014/3/3,83
2014/3/4,99
2014/3/5,92
2014/3/6,112
2014/3/7,102
2014/3/8,102
2014/3/9,74
2014/3/10,88
2014/3/11,106
2014/3/12,108
2014/3/13,103
2014/3/14,123
2014/3/15,106
2014/3/16,94
2014/3/17,113
2014/3/18,115
2014/3/19,107
2014/3/20,127
2014/3/21,113
2014/3/22,95
2014/3/23,93
2014/3/24,92
2014/3/25,93
2014/3/26,109
2014/3/27,114
2014/3/28,104
2014/3/29,119
2014/3/30,90
2014/3/31,104
2014/4/1,116
2014/4/2,117
2014/4/3,119
2014/4/4,121
2014/4/5,116
2014/4/6,106
2014/4/7,85
2014/4/8,127
2014/4/9,109
2014/4/10,144
2014/4/11,149
2014/4/12,108
2014/4/13,96
2014/4/14,105
2014/4/15,100
2014/4/16,122
2014/4/17,118
2014/4/18,97
2014/4/19,105
2014/4/20,82
2014/4/21,84
2014/4/22,99
2014/4/23,134
2014/4/24,142
2014/4/25,136
2014/4/26,119
2014/4/27,86
2014/4/28,107
2014/4/29,117
2014/4/30,152
2014/5/1,123
2014/5/2,134
2014/5/3,141
2014/5/4,96
2014/5/5,115
2014/5/6,127
2014/5/7,145
2014/5/8,132
2014/5/9,115
2014/5/10,119
2014/5/11,94
2014/5/12,140
2014/5/13,114
2014/5/14,149
2014/5/15,140
2014/5/16,150
2014/5/17,133
2014/5/18,114
2014/5/19,110
2014/5/20,133
2014/5/21,131
2014/5/22,132
2014/5/23,138
2014/5/24,97
2014/5/25,79
2014/5/26,59
2014/5/27,123
2014/5/28,109
2014/5/29,154
2014/5/30,147
2014/5/31,125
2014/6/1,122
2014/6/2,104
2014/6/3,137
2014/6/4,130
2014/6/5,123
2014/6/6,180
2014/6/7,128
2014/6/8,99
2014/6/9,105
2014/6/10,108
2014/6/11,135
2014/6/12,122
2014/6/13,156
2014/6/14,116
2014/6/15,76
2014/6/16,119
2014/6/17,133
2014/6/18,143
2014/6/19,142
2014/6/20,159
2014/6/21,97
2014/6/22,85
2014/6/23,109
2014/6/24,128
2014/6/25,122
2014/6/26,129
